Extension,Category,Description,HexSignature,Offset,RiskLevel
ext_474,Font,Custom Enterprise Extended Type Variation Signature Profile 474,F6 03 10 1D 2A 37 44 51,0,Low
ext_475,Security,Custom Enterprise Extended Type Variation Signature Profile 475,FD 0A 17 24,0,Medium
ext_476,Script,Custom Enterprise Extended Type Variation Signature Profile 476,04 11 1E 2B 38,0,High
ext_477,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 477,0B 18 25 32 3F 4C,0,Low
ext_478,Web,Custom Enterprise Extended Type Variation Signature Profile 478,12 1F 2C 39 46 53 60,0,Medium
ext_479,Data,Custom Enterprise Extended Type Variation Signature Profile 479,19 26 33 40 4D 5A 67 74,0,High
ext_480,Executable,Custom Enterprise Extended Type Variation Signature Profile 480,20 2D 3A 47,0,Low
ext_481,Image,Custom Enterprise Extended Type Variation Signature Profile 481,27 34 41 4E 5B,0,Medium
ext_482,Audio,Custom Enterprise Extended Type Variation Signature Profile 482,2E 3B 48 55 62 6F,0,High
ext_483,Video,Custom Enterprise Extended Type Variation Signature Profile 483,35 42 4F 5C 69 76 83,0,Low
ext_484,Document,Custom Enterprise Extended Type Variation Signature Profile 484,3C 49 56 63 70 7D 8A 97,0,Medium
ext_485,Archive,Custom Enterprise Extended Type Variation Signature Profile 485,43 50 5D 6A,257,High
ext_486,System,Custom Enterprise Extended Type Variation Signature Profile 486,4A 57 64 71 7E,0,Low
ext_487,Database,Custom Enterprise Extended Type Variation Signature Profile 487,51 5E 6B 78 85 92,0,Medium
ext_488,Network,Custom Enterprise Extended Type Variation Signature Profile 488,58 65 72 7F 8C 99 A6,0,High
ext_489,Font,Custom Enterprise Extended Type Variation Signature Profile 489,5F 6C 79 86 93 A0 AD BA,0,Low
ext_490,Security,Custom Enterprise Extended Type Variation Signature Profile 490,66 73 80 8D,0,Medium
ext_491,Script,Custom Enterprise Extended Type Variation Signature Profile 491,6D 7A 87 94 A1,0,High
ext_492,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 492,74 81 8E 9B A8 B5,0,Low
ext_493,Web,Custom Enterprise Extended Type Variation Signature Profile 493,7B 88 95 A2 AF BC C9,0,Medium
ext_494,Data,Custom Enterprise Extended Type Variation Signature Profile 494,82 8F 9C A9 B6 C3 D0 DD,0,High
ext_495,Executable,Custom Enterprise Extended Type Variation Signature Profile 495,89 96 A3 B0,0,Low
ext_496,Image,Custom Enterprise Extended Type Variation Signature Profile 496,90 9D AA B7 C4,0,Medium
ext_497,Audio,Custom Enterprise Extended Type Variation Signature Profile 497,97 A4 B1 BE CB D8,0,High
ext_498,Video,Custom Enterprise Extended Type Variation Signature Profile 498,9E AB B8 C5 D2 DF EC,0,Low
ext_499,Document,Custom Enterprise Extended Type Variation Signature Profile 499,A5 B2 BF CC D9 E6 F3 00,0,Medium
ext_500,Archive,Custom Enterprise Extended Type Variation Signature Profile 500,AC B9 C6 D3,257,High
ext_501,System,Custom Enterprise Extended Type Variation Signature Profile 501,B3 C0 CD DA E7,0,Low
ext_502,Database,Custom Enterprise Extended Type Variation Signature Profile 502,BA C7 D4 E1 EE FB,0,Medium
ext_503,Network,Custom Enterprise Extended Type Variation Signature Profile 503,C1 CE DB E8 F5 02 0F,0,High
ext_504,Font,Custom Enterprise Extended Type Variation Signature Profile 504,C8 D5 E2 EF FC 09 16 23,0,Low
ext_505,Security,Custom Enterprise Extended Type Variation Signature Profile 505,CF DC E9 F6,0,Medium
ext_506,Script,Custom Enterprise Extended Type Variation Signature Profile 506,D6 E3 F0 FD 0A,0,High
ext_507,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 507,DD EA F7 04 11 1E,0,Low
ext_508,Web,Custom Enterprise Extended Type Variation Signature Profile 508,E4 F1 FE 0B 18 25 32,0,Medium
ext_509,Data,Custom Enterprise Extended Type Variation Signature Profile 509,EB F8 05 12 1F 2C 39 46,0,High
ext_510,Executable,Custom Enterprise Extended Type Variation Signature Profile 510,F2 FF 0C 19,0,Low
ext_511,Image,Custom Enterprise Extended Type Variation Signature Profile 511,F9 06 13 20 2D,0,Medium
ext_512,Audio,Custom Enterprise Extended Type Variation Signature Profile 512,00 0D 1A 27 34 41,0,High
ext_513,Video,Custom Enterprise Extended Type Variation Signature Profile 513,07 14 21 2E 3B 48 55,0,Low
ext_514,Document,Custom Enterprise Extended Type Variation Signature Profile 514,0E 1B 28 35 42 4F 5C 69,0,Medium
ext_515,Archive,Custom Enterprise Extended Type Variation Signature Profile 515,15 22 2F 3C,257,High
ext_516,System,Custom Enterprise Extended Type Variation Signature Profile 516,1C 29 36 43 50,0,Low
ext_517,Database,Custom Enterprise Extended Type Variation Signature Profile 517,23 30 3D 4A 57 64,0,Medium
ext_518,Network,Custom Enterprise Extended Type Variation Signature Profile 518,2A 37 44 51 5E 6B 78,0,High
ext_519,Font,Custom Enterprise Extended Type Variation Signature Profile 519,31 3E 4B 58 65 72 7F 8C,0,Low
ext_520,Security,Custom Enterprise Extended Type Variation Signature Profile 520,38 45 52 5F,0,Medium
ext_521,Script,Custom Enterprise Extended Type Variation Signature Profile 521,3F 4C 59 66 73,0,High
ext_522,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 522,46 53 60 6D 7A 87,0,Low
ext_523,Web,Custom Enterprise Extended Type Variation Signature Profile 523,4D 5A 67 74 81 8E 9B,0,Medium
ext_524,Data,Custom Enterprise Extended Type Variation Signature Profile 524,54 61 6E 7B 88 95 A2 AF,0,High
ext_525,Executable,Custom Enterprise Extended Type Variation Signature Profile 525,5B 68 75 82,0,Low
ext_526,Image,Custom Enterprise Extended Type Variation Signature Profile 526,62 6F 7C 89 96,0,Medium
ext_527,Audio,Custom Enterprise Extended Type Variation Signature Profile 527,69 76 83 90 9D AA,0,High
ext_528,Video,Custom Enterprise Extended Type Variation Signature Profile 528,70 7D 8A 97 A4 B1 BE,0,Low
ext_529,Document,Custom Enterprise Extended Type Variation Signature Profile 529,77 84 91 9E AB B8 C5 D2,0,Medium
ext_530,Archive,Custom Enterprise Extended Type Variation Signature Profile 530,7E 8B 98 A5,257,High
ext_531,System,Custom Enterprise Extended Type Variation Signature Profile 531,85 92 9F AC B9,0,Low
ext_532,Database,Custom Enterprise Extended Type Variation Signature Profile 532,8C 99 A6 B3 C0 CD,0,Medium
ext_533,Network,Custom Enterprise Extended Type Variation Signature Profile 533,93 A0 AD BA C7 D4 E1,0,High
ext_534,Font,Custom Enterprise Extended Type Variation Signature Profile 534,9A A7 B4 C1 CE DB E8 F5,0,Low
ext_535,Security,Custom Enterprise Extended Type Variation Signature Profile 535,A1 AE BB C8,0,Medium
ext_536,Script,Custom Enterprise Extended Type Variation Signature Profile 536,A8 B5 C2 CF DC,0,High
ext_537,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 537,AF BC C9 D6 E3 F0,0,Low
ext_538,Web,Custom Enterprise Extended Type Variation Signature Profile 538,B6 C3 D0 DD EA F7 04,0,Medium
ext_539,Data,Custom Enterprise Extended Type Variation Signature Profile 539,BD CA D7 E4 F1 FE 0B 18,0,High
ext_540,Executable,Custom Enterprise Extended Type Variation Signature Profile 540,C4 D1 DE EB,0,Low
ext_541,Image,Custom Enterprise Extended Type Variation Signature Profile 541,CB D8 E5 F2 FF,0,Medium
ext_542,Audio,Custom Enterprise Extended Type Variation Signature Profile 542,D2 DF EC F9 06 13,0,High
ext_543,Video,Custom Enterprise Extended Type Variation Signature Profile 543,D9 E6 F3 00 0D 1A 27,0,Low
ext_544,Document,Custom Enterprise Extended Type Variation Signature Profile 544,E0 ED FA 07 14 21 2E 3B,0,Medium
ext_545,Archive,Custom Enterprise Extended Type Variation Signature Profile 545,E7 F4 01 0E,257,High
ext_546,System,Custom Enterprise Extended Type Variation Signature Profile 546,EE FB 08 15 22,0,Low
ext_547,Database,Custom Enterprise Extended Type Variation Signature Profile 547,F5 02 0F 1C 29 36,0,Medium
ext_548,Network,Custom Enterprise Extended Type Variation Signature Profile 548,FC 09 16 23 30 3D 4A,0,High
ext_549,Font,Custom Enterprise Extended Type Variation Signature Profile 549,03 10 1D 2A 37 44 51 5E,0,Low
ext_550,Security,Custom Enterprise Extended Type Variation Signature Profile 550,0A 17 24 31,0,Medium
ext_551,Script,Custom Enterprise Extended Type Variation Signature Profile 551,11 1E 2B 38 45,0,High
ext_552,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 552,18 25 32 3F 4C 59,0,Low
ext_553,Web,Custom Enterprise Extended Type Variation Signature Profile 553,1F 2C 39 46 53 60 6D,0,Medium
ext_554,Data,Custom Enterprise Extended Type Variation Signature Profile 554,26 33 40 4D 5A 67 74 81,0,High
ext_555,Executable,Custom Enterprise Extended Type Variation Signature Profile 555,2D 3A 47 54,0,Low
ext_556,Image,Custom Enterprise Extended Type Variation Signature Profile 556,34 41 4E 5B 68,0,Medium
ext_557,Audio,Custom Enterprise Extended Type Variation Signature Profile 557,3B 48 55 62 6F 7C,0,High
ext_558,Video,Custom Enterprise Extended Type Variation Signature Profile 558,42 4F 5C 69 76 83 90,0,Low
ext_559,Document,Custom Enterprise Extended Type Variation Signature Profile 559,49 56 63 70 7D 8A 97 A4,0,Medium
ext_560,Archive,Custom Enterprise Extended Type Variation Signature Profile 560,50 5D 6A 77,257,High
ext_561,System,Custom Enterprise Extended Type Variation Signature Profile 561,57 64 71 7E 8B,0,Low
ext_562,Database,Custom Enterprise Extended Type Variation Signature Profile 562,5E 6B 78 85 92 9F,0,Medium
ext_563,Network,Custom Enterprise Extended Type Variation Signature Profile 563,65 72 7F 8C 99 A6 B3,0,High
ext_564,Font,Custom Enterprise Extended Type Variation Signature Profile 564,6C 79 86 93 A0 AD BA C7,0,Low
ext_565,Security,Custom Enterprise Extended Type Variation Signature Profile 565,73 80 8D 9A,0,Medium
ext_566,Script,Custom Enterprise Extended Type Variation Signature Profile 566,7A 87 94 A1 AE,0,High
ext_567,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 567,81 8E 9B A8 B5 C2,32769,Low
ext_568,Web,Custom Enterprise Extended Type Variation Signature Profile 568,88 95 A2 AF BC C9 D6,0,Medium
ext_569,Data,Custom Enterprise Extended Type Variation Signature Profile 569,8F 9C A9 B6 C3 D0 DD EA,0,High
ext_570,Executable,Custom Enterprise Extended Type Variation Signature Profile 570,96 A3 B0 BD,0,Low
ext_571,Image,Custom Enterprise Extended Type Variation Signature Profile 571,9D AA B7 C4 D1,0,Medium
ext_572,Audio,Custom Enterprise Extended Type Variation Signature Profile 572,A4 B1 BE CB D8 E5,0,High
ext_573,Video,Custom Enterprise Extended Type Variation Signature Profile 573,AB B8 C5 D2 DF EC F9,0,Low
ext_574,Document,Custom Enterprise Extended Type Variation Signature Profile 574,B2 BF CC D9 E6 F3 00 0D,0,Medium
ext_575,Archive,Custom Enterprise Extended Type Variation Signature Profile 575,B9 C6 D3 E0,257,High
ext_576,System,Custom Enterprise Extended Type Variation Signature Profile 576,C0 CD DA E7 F4,0,Low
ext_577,Database,Custom Enterprise Extended Type Variation Signature Profile 577,C7 D4 E1 EE FB 08,0,Medium
ext_578,Network,Custom Enterprise Extended Type Variation Signature Profile 578,CE DB E8 F5 02 0F 1C,0,High
ext_579,Font,Custom Enterprise Extended Type Variation Signature Profile 579,D5 E2 EF FC 09 16 23 30,0,Low
ext_580,Security,Custom Enterprise Extended Type Variation Signature Profile 580,DC E9 F6 03,0,Medium
ext_581,Script,Custom Enterprise Extended Type Variation Signature Profile 581,E3 F0 FD 0A 17,0,High
ext_582,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 582,EA F7 04 11 1E 2B,0,Low
ext_583,Web,Custom Enterprise Extended Type Variation Signature Profile 583,F1 FE 0B 18 25 32 3F,0,Medium
ext_584,Data,Custom Enterprise Extended Type Variation Signature Profile 584,F8 05 12 1F 2C 39 46 53,0,High
ext_585,Executable,Custom Enterprise Extended Type Variation Signature Profile 585,FF 0C 19 26,0,Low
ext_586,Image,Custom Enterprise Extended Type Variation Signature Profile 586,06 13 20 2D 3A,0,Medium
ext_587,Audio,Custom Enterprise Extended Type Variation Signature Profile 587,0D 1A 27 34 41 4E,0,High
ext_588,Video,Custom Enterprise Extended Type Variation Signature Profile 588,14 21 2E 3B 48 55 62,0,Low
ext_589,Document,Custom Enterprise Extended Type Variation Signature Profile 589,1B 28 35 42 4F 5C 69 76,0,Medium
ext_590,Archive,Custom Enterprise Extended Type Variation Signature Profile 590,22 2F 3C 49,257,High
ext_591,System,Custom Enterprise Extended Type Variation Signature Profile 591,29 36 43 50 5D,0,Low
ext_592,Database,Custom Enterprise Extended Type Variation Signature Profile 592,30 3D 4A 57 64 71,0,Medium
ext_593,Network,Custom Enterprise Extended Type Variation Signature Profile 593,37 44 51 5E 6B 78 85,0,High
ext_594,Font,Custom Enterprise Extended Type Variation Signature Profile 594,3E 4B 58 65 72 7F 8C 99,0,Low
ext_595,Security,Custom Enterprise Extended Type Variation Signature Profile 595,45 52 5F 6C,0,Medium
ext_596,Script,Custom Enterprise Extended Type Variation Signature Profile 596,4C 59 66 73 80,0,High
ext_597,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 597,53 60 6D 7A 87 94,0,Low
ext_598,Web,Custom Enterprise Extended Type Variation Signature Profile 598,5A 67 74 81 8E 9B A8,0,Medium
ext_599,Data,Custom Enterprise Extended Type Variation Signature Profile 599,61 6E 7B 88 95 A2 AF BC,0,High
ext_600,Executable,Custom Enterprise Extended Type Variation Signature Profile 600,68 75 82 8F,0,Low
ext_601,Image,Custom Enterprise Extended Type Variation Signature Profile 601,6F 7C 89 96 A3,0,Medium
ext_602,Audio,Custom Enterprise Extended Type Variation Signature Profile 602,76 83 90 9D AA B7,0,High
ext_603,Video,Custom Enterprise Extended Type Variation Signature Profile 603,7D 8A 97 A4 B1 BE CB,0,Low
ext_604,Document,Custom Enterprise Extended Type Variation Signature Profile 604,84 91 9E AB B8 C5 D2 DF,0,Medium
ext_605,Archive,Custom Enterprise Extended Type Variation Signature Profile 605,8B 98 A5 B2,257,High
ext_606,System,Custom Enterprise Extended Type Variation Signature Profile 606,92 9F AC B9 C6,0,Low
ext_607,Database,Custom Enterprise Extended Type Variation Signature Profile 607,99 A6 B3 C0 CD DA,0,Medium
ext_608,Network,Custom Enterprise Extended Type Variation Signature Profile 608,A0 AD BA C7 D4 E1 EE,0,High
ext_609,Font,Custom Enterprise Extended Type Variation Signature Profile 609,A7 B4 C1 CE DB E8 F5 02,0,Low
ext_610,Security,Custom Enterprise Extended Type Variation Signature Profile 610,AE BB C8 D5,0,Medium
ext_611,Script,Custom Enterprise Extended Type Variation Signature Profile 611,B5 C2 CF DC E9,0,High
ext_612,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 612,BC C9 D6 E3 F0 FD,0,Low
ext_613,Web,Custom Enterprise Extended Type Variation Signature Profile 613,C3 D0 DD EA F7 04 11,0,Medium
ext_614,Data,Custom Enterprise Extended Type Variation Signature Profile 614,CA D7 E4 F1 FE 0B 18 25,0,High
ext_615,Executable,Custom Enterprise Extended Type Variation Signature Profile 615,D1 DE EB F8,0,Low
ext_616,Image,Custom Enterprise Extended Type Variation Signature Profile 616,D8 E5 F2 FF 0C,0,Medium
ext_617,Audio,Custom Enterprise Extended Type Variation Signature Profile 617,DF EC F9 06 13 20,0,High
ext_618,Video,Custom Enterprise Extended Type Variation Signature Profile 618,E6 F3 00 0D 1A 27 34,0,Low
ext_619,Document,Custom Enterprise Extended Type Variation Signature Profile 619,ED FA 07 14 21 2E 3B 48,0,Medium
ext_620,Archive,Custom Enterprise Extended Type Variation Signature Profile 620,F4 01 0E 1B,257,High
ext_621,System,Custom Enterprise Extended Type Variation Signature Profile 621,FB 08 15 22 2F,0,Low
ext_622,Database,Custom Enterprise Extended Type Variation Signature Profile 622,02 0F 1C 29 36 43,0,Medium
ext_623,Network,Custom Enterprise Extended Type Variation Signature Profile 623,09 16 23 30 3D 4A 57,0,High
ext_624,Font,Custom Enterprise Extended Type Variation Signature Profile 624,10 1D 2A 37 44 51 5E 6B,0,Low
ext_625,Security,Custom Enterprise Extended Type Variation Signature Profile 625,17 24 31 3E,0,Medium
ext_626,Script,Custom Enterprise Extended Type Variation Signature Profile 626,1E 2B 38 45 52,0,High
ext_627,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 627,25 32 3F 4C 59 66,0,Low
ext_628,Web,Custom Enterprise Extended Type Variation Signature Profile 628,2C 39 46 53 60 6D 7A,0,Medium
ext_629,Data,Custom Enterprise Extended Type Variation Signature Profile 629,33 40 4D 5A 67 74 81 8E,0,High
ext_630,Executable,Custom Enterprise Extended Type Variation Signature Profile 630,3A 47 54 61,0,Low
ext_631,Image,Custom Enterprise Extended Type Variation Signature Profile 631,41 4E 5B 68 75,0,Medium
ext_632,Audio,Custom Enterprise Extended Type Variation Signature Profile 632,48 55 62 6F 7C 89,0,High
ext_633,Video,Custom Enterprise Extended Type Variation Signature Profile 633,4F 5C 69 76 83 90 9D,0,Low
ext_634,Document,Custom Enterprise Extended Type Variation Signature Profile 634,56 63 70 7D 8A 97 A4 B1,0,Medium
ext_635,Archive,Custom Enterprise Extended Type Variation Signature Profile 635,5D 6A 77 84,257,High
ext_636,System,Custom Enterprise Extended Type Variation Signature Profile 636,64 71 7E 8B 98,0,Low
ext_637,Database,Custom Enterprise Extended Type Variation Signature Profile 637,6B 78 85 92 9F AC,0,Medium
ext_638,Network,Custom Enterprise Extended Type Variation Signature Profile 638,72 7F 8C 99 A6 B3 C0,0,High
ext_639,Font,Custom Enterprise Extended Type Variation Signature Profile 639,79 86 93 A0 AD BA C7 D4,0,Low
ext_640,Security,Custom Enterprise Extended Type Variation Signature Profile 640,80 8D 9A A7,0,Medium
ext_641,Script,Custom Enterprise Extended Type Variation Signature Profile 641,87 94 A1 AE BB,0,High
ext_642,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 642,8E 9B A8 B5 C2 CF,0,Low
ext_643,Web,Custom Enterprise Extended Type Variation Signature Profile 643,95 A2 AF BC C9 D6 E3,0,Medium
ext_644,Data,Custom Enterprise Extended Type Variation Signature Profile 644,9C A9 B6 C3 D0 DD EA F7,0,High
ext_645,Executable,Custom Enterprise Extended Type Variation Signature Profile 645,A3 B0 BD CA,0,Low
ext_646,Image,Custom Enterprise Extended Type Variation Signature Profile 646,AA B7 C4 D1 DE,0,Medium
ext_647,Audio,Custom Enterprise Extended Type Variation Signature Profile 647,B1 BE CB D8 E5 F2,0,High
ext_648,Video,Custom Enterprise Extended Type Variation Signature Profile 648,B8 C5 D2 DF EC F9 06,0,Low
ext_649,Document,Custom Enterprise Extended Type Variation Signature Profile 649,BF CC D9 E6 F3 00 0D 1A,0,Medium
ext_650,Archive,Custom Enterprise Extended Type Variation Signature Profile 650,C6 D3 E0 ED,257,High
ext_651,System,Custom Enterprise Extended Type Variation Signature Profile 651,CD DA E7 F4 01,0,Low
ext_652,Database,Custom Enterprise Extended Type Variation Signature Profile 652,D4 E1 EE FB 08 15,0,Medium
ext_653,Network,Custom Enterprise Extended Type Variation Signature Profile 653,DB E8 F5 02 0F 1C 29,0,High
ext_654,Font,Custom Enterprise Extended Type Variation Signature Profile 654,E2 EF FC 09 16 23 30 3D,0,Low
ext_655,Security,Custom Enterprise Extended Type Variation Signature Profile 655,E9 F6 03 10,0,Medium
ext_656,Script,Custom Enterprise Extended Type Variation Signature Profile 656,F0 FD 0A 17 24,0,High
ext_657,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 657,F7 04 11 1E 2B 38,0,Low
ext_658,Web,Custom Enterprise Extended Type Variation Signature Profile 658,FE 0B 18 25 32 3F 4C,0,Medium
ext_659,Data,Custom Enterprise Extended Type Variation Signature Profile 659,05 12 1F 2C 39 46 53 60,0,High
ext_660,Executable,Custom Enterprise Extended Type Variation Signature Profile 660,0C 19 26 33,0,Low
ext_661,Image,Custom Enterprise Extended Type Variation Signature Profile 661,13 20 2D 3A 47,0,Medium
ext_662,Audio,Custom Enterprise Extended Type Variation Signature Profile 662,1A 27 34 41 4E 5B,0,High
ext_663,Video,Custom Enterprise Extended Type Variation Signature Profile 663,21 2E 3B 48 55 62 6F,0,Low
ext_664,Document,Custom Enterprise Extended Type Variation Signature Profile 664,28 35 42 4F 5C 69 76 83,0,Medium
ext_665,Archive,Custom Enterprise Extended Type Variation Signature Profile 665,2F 3C 49 56,257,High
ext_666,System,Custom Enterprise Extended Type Variation Signature Profile 666,36 43 50 5D 6A,0,Low
ext_667,Database,Custom Enterprise Extended Type Variation Signature Profile 667,3D 4A 57 64 71 7E,0,Medium
ext_668,Network,Custom Enterprise Extended Type Variation Signature Profile 668,44 51 5E 6B 78 85 92,0,High
ext_669,Font,Custom Enterprise Extended Type Variation Signature Profile 669,4B 58 65 72 7F 8C 99 A6,0,Low
ext_670,Security,Custom Enterprise Extended Type Variation Signature Profile 670,52 5F 6C 79,0,Medium
ext_671,Script,Custom Enterprise Extended Type Variation Signature Profile 671,59 66 73 80 8D,0,High
ext_672,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 672,60 6D 7A 87 94 A1,32769,Low
ext_673,Web,Custom Enterprise Extended Type Variation Signature Profile 673,67 74 81 8E 9B A8 B5,0,Medium
ext_674,Data,Custom Enterprise Extended Type Variation Signature Profile 674,6E 7B 88 95 A2 AF BC C9,0,High
ext_675,Executable,Custom Enterprise Extended Type Variation Signature Profile 675,75 82 8F 9C,0,Low
ext_676,Image,Custom Enterprise Extended Type Variation Signature Profile 676,7C 89 96 A3 B0,0,Medium
ext_677,Audio,Custom Enterprise Extended Type Variation Signature Profile 677,83 90 9D AA B7 C4,0,High
ext_678,Video,Custom Enterprise Extended Type Variation Signature Profile 678,8A 97 A4 B1 BE CB D8,0,Low
ext_679,Document,Custom Enterprise Extended Type Variation Signature Profile 679,91 9E AB B8 C5 D2 DF EC,0,Medium
ext_680,Archive,Custom Enterprise Extended Type Variation Signature Profile 680,98 A5 B2 BF,257,High
ext_681,System,Custom Enterprise Extended Type Variation Signature Profile 681,9F AC B9 C6 D3,0,Low
ext_682,Database,Custom Enterprise Extended Type Variation Signature Profile 682,A6 B3 C0 CD DA E7,0,Medium
ext_683,Network,Custom Enterprise Extended Type Variation Signature Profile 683,AD BA C7 D4 E1 EE FB,0,High
ext_684,Font,Custom Enterprise Extended Type Variation Signature Profile 684,B4 C1 CE DB E8 F5 02 0F,0,Low
ext_685,Security,Custom Enterprise Extended Type Variation Signature Profile 685,BB C8 D5 E2,0,Medium
ext_686,Script,Custom Enterprise Extended Type Variation Signature Profile 686,C2 CF DC E9 F6,0,High
ext_687,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 687,C9 D6 E3 F0 FD 0A,0,Low
ext_688,Web,Custom Enterprise Extended Type Variation Signature Profile 688,D0 DD EA F7 04 11 1E,0,Medium
ext_689,Data,Custom Enterprise Extended Type Variation Signature Profile 689,D7 E4 F1 FE 0B 18 25 32,0,High
ext_690,Executable,Custom Enterprise Extended Type Variation Signature Profile 690,DE EB F8 05,0,Low
ext_691,Image,Custom Enterprise Extended Type Variation Signature Profile 691,E5 F2 FF 0C 19,0,Medium
ext_692,Audio,Custom Enterprise Extended Type Variation Signature Profile 692,EC F9 06 13 20 2D,0,High
ext_693,Video,Custom Enterprise Extended Type Variation Signature Profile 693,F3 00 0D 1A 27 34 41,0,Low
ext_694,Document,Custom Enterprise Extended Type Variation Signature Profile 694,FA 07 14 21 2E 3B 48 55,0,Medium
ext_695,Archive,Custom Enterprise Extended Type Variation Signature Profile 695,01 0E 1B 28,257,High
ext_696,System,Custom Enterprise Extended Type Variation Signature Profile 696,08 15 22 2F 3C,0,Low
ext_697,Database,Custom Enterprise Extended Type Variation Signature Profile 697,0F 1C 29 36 43 50,0,Medium
ext_698,Network,Custom Enterprise Extended Type Variation Signature Profile 698,16 23 30 3D 4A 57 64,0,High
ext_699,Font,Custom Enterprise Extended Type Variation Signature Profile 699,1D 2A 37 44 51 5E 6B 78,0,Low
ext_700,Security,Custom Enterprise Extended Type Variation Signature Profile 700,24 31 3E 4B,0,Medium
ext_701,Script,Custom Enterprise Extended Type Variation Signature Profile 701,2B 38 45 52 5F,0,High
ext_702,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 702,32 3F 4C 59 66 73,0,Low
ext_703,Web,Custom Enterprise Extended Type Variation Signature Profile 703,39 46 53 60 6D 7A 87,0,Medium
ext_704,Data,Custom Enterprise Extended Type Variation Signature Profile 704,40 4D 5A 67 74 81 8E 9B,0,High
ext_705,Executable,Custom Enterprise Extended Type Variation Signature Profile 705,47 54 61 6E,0,Low
ext_706,Image,Custom Enterprise Extended Type Variation Signature Profile 706,4E 5B 68 75 82,0,Medium
ext_707,Audio,Custom Enterprise Extended Type Variation Signature Profile 707,55 62 6F 7C 89 96,0,High
ext_708,Video,Custom Enterprise Extended Type Variation Signature Profile 708,5C 69 76 83 90 9D AA,0,Low
ext_709,Document,Custom Enterprise Extended Type Variation Signature Profile 709,63 70 7D 8A 97 A4 B1 BE,0,Medium
ext_710,Archive,Custom Enterprise Extended Type Variation Signature Profile 710,6A 77 84 91,257,High
ext_711,System,Custom Enterprise Extended Type Variation Signature Profile 711,71 7E 8B 98 A5,0,Low
ext_712,Database,Custom Enterprise Extended Type Variation Signature Profile 712,78 85 92 9F AC B9,0,Medium
ext_713,Network,Custom Enterprise Extended Type Variation Signature Profile 713,7F 8C 99 A6 B3 C0 CD,0,High
ext_714,Font,Custom Enterprise Extended Type Variation Signature Profile 714,86 93 A0 AD BA C7 D4 E1,0,Low
ext_715,Security,Custom Enterprise Extended Type Variation Signature Profile 715,8D 9A A7 B4,0,Medium
ext_716,Script,Custom Enterprise Extended Type Variation Signature Profile 716,94 A1 AE BB C8,0,High
ext_717,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 717,9B A8 B5 C2 CF DC,0,Low
ext_718,Web,Custom Enterprise Extended Type Variation Signature Profile 718,A2 AF BC C9 D6 E3 F0,0,Medium
ext_719,Data,Custom Enterprise Extended Type Variation Signature Profile 719,A9 B6 C3 D0 DD EA F7 04,0,High
ext_720,Executable,Custom Enterprise Extended Type Variation Signature Profile 720,B0 BD CA D7,0,Low
ext_721,Image,Custom Enterprise Extended Type Variation Signature Profile 721,B7 C4 D1 DE EB,0,Medium
ext_722,Audio,Custom Enterprise Extended Type Variation Signature Profile 722,BE CB D8 E5 F2 FF,0,High
ext_723,Video,Custom Enterprise Extended Type Variation Signature Profile 723,C5 D2 DF EC F9 06 13,0,Low
ext_724,Document,Custom Enterprise Extended Type Variation Signature Profile 724,CC D9 E6 F3 00 0D 1A 27,0,Medium
ext_725,Archive,Custom Enterprise Extended Type Variation Signature Profile 725,D3 E0 ED FA,257,High
ext_726,System,Custom Enterprise Extended Type Variation Signature Profile 726,DA E7 F4 01 0E,0,Low
ext_727,Database,Custom Enterprise Extended Type Variation Signature Profile 727,E1 EE FB 08 15 22,0,Medium
ext_728,Network,Custom Enterprise Extended Type Variation Signature Profile 728,E8 F5 02 0F 1C 29 36,0,High
ext_729,Font,Custom Enterprise Extended Type Variation Signature Profile 729,EF FC 09 16 23 30 3D 4A,0,Low
ext_730,Security,Custom Enterprise Extended Type Variation Signature Profile 730,F6 03 10 1D,0,Medium
ext_731,Script,Custom Enterprise Extended Type Variation Signature Profile 731,FD 0A 17 24 31,0,High
ext_732,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 732,04 11 1E 2B 38 45,0,Low
ext_733,Web,Custom Enterprise Extended Type Variation Signature Profile 733,0B 18 25 32 3F 4C 59,0,Medium
ext_734,Data,Custom Enterprise Extended Type Variation Signature Profile 734,12 1F 2C 39 46 53 60 6D,0,High
ext_735,Executable,Custom Enterprise Extended Type Variation Signature Profile 735,19 26 33 40,0,Low
